SMILES,diff
c1(cc(Cl)ccc1NC(=O)\C=C\c2ccco2)C(O)=O,30.59
C(=O)(c1ccc(cc1)Cl)Nc(cc(cc2C(O)=O)C(O)=O)c2,6.47
N1(c2ccc(cc2)OC)C(=O)NC(\C(=C\c3cccc(OCCOc(cc4)ccc4[N+](=O)[O-])c3)\C1=O)=O,12.27
N1(CC(OCC)=O)C(=O)c2c(C(c3ccccc3)=N1)cccc2,10.61
C1(C)(C(OCC)=O)\C(=N/Nc2ccccc2C)\C(C(=O)N1c3ccccc3)=O,16.08
c1(NC(COc(cc2)ccc2Cl)=O)sc(c(C)c1C(OCC)=O)C(=O)Nc(cc3)ccc3OC,7.38
c12c(C(N(C)C(=O)N1C)=O)n(c(N(CC3)CCN3Cc4ccccc4)n2)CC(c5ccccc5)=O,10.15
C1(=S)c2c(cccc2)NC3(CCCC3)N1,7.630000000000001
[N+](=O)([O-])c1c(\C=N\NCC(OC)=O)ccc(c1)[N+](=O)[O-],19.77
N1(c2ccc(cc2)C)C(=O)NC(\C(=C/c(cc3OC)cc(c3O)I)\C1=O)=O,8.95
c(c(\C=C\c(ccc(c1OC)OCCC(C)C)c1)nc(n2)O)([N+](=O)[O-])c2O,5.97
c(C#N)(c1c2ccco2)c(SCC(=O)Nc(cc3)c(cccc4)c4c3[N+](=O)[O-])nc(N)c1C#N,9.77
N1(CC(COc2ccccc2)OC(c3ccccc3)O1)C(c4ccccc4)=O,13.73
S(NCCOc(cc1)ccc1C)(=O)(=O)c2ccc(cc2)SC,13.94
c1([nH]c(c2n1)cccc2)\C(\C#N)=C(\c3c(N4)cccc3)/C4=O,6.539999999999999
C1(C)(C)C(c2ccccc2)Nc(c3C1OC(C)=O)cccc3,7.129999999999999
N1(C2c3ccc(cc3)Cl)C(S\C(=C\c(c4)c(C)n(n4)C)\C1=O)=NC(C)=C2C(OCC)=O,7.19
n1(c2c(n3)cccc2)c3NC(CCCC4)=C4C1=O,8.68
C(C(OCC)=O)(=CN(c1ccc(cc1)C)C=C2C(OCC)=O)C2c3cc(Br)ccc3OC,7.69
C(=O)(Nc1cccc(CCc2ccccn2)c1)c(cc3OC)cc(c3OC)OC,30.660000000000004
c1(C(OCC)=O)c(cc(O)cc2)c2n(CCOc3c(C)cccc3C)c1C,10.16
n1c(c(ccc(c2Cl)Cl)c2)onc1c3ccccc3,8.98
c1(cc(ccc1NC(Cc(cc2)ccc2Cl)=O)Cc(ccc(c3C(O)=O)NC(Cc(cc4)ccc4Cl)=O)c3)C(O)=O,10.12
C1(\N=C(/c2c(N3)ccc(Br)c2)\C3=O)=C(C)N(N(c4ccccc4)C1=O)C,10.99
C1(C(=O)OCc2ccccc2)=C(C)NC(=O)CC1c3ccccc3[N+](=O)[O-],13.98
C(C(OCC)=O)(=CN(c1cc(C)cc(C)c1)C=C2C(OCC)=O)C2c3ccccc3OC,5.22
c1(C#N)c(C(CCC=C2)C2)c3c(nc1SCC(OCC)=O)CCC3,13.24
N1(c2ccc(cc2)OC(C)C)CC(CC1=O)C(=O)Nc(cc3)ccc3F,6.710000000000001
C(=CNC=C1C(OC)=O)(C(OC)=O)C1c2ccc(cc2)OCC,21.13
N(C(CSCC(c1ccccc1)=O)=O)c2ccccc2Cl,25.160000000000004
c1(cc(cc(NC(C)=O)c1O)[N+](=O)[O-])[N+](=O)[O-],18.57
N1(c(cc2)ccc2C(OC)=O)C(=O)C(CC1=O)Nc(cc3)ccc3CCO,8.27
C1(CC(=O)Nc(ccc(cccc2)c23)c13)c4cc(OC)ccc4OC,14.84
C(C(OC)=O)(C1c2cccc(OCC)c2)=C(C)N(C(C)=C1C(OC)=O)C,6.6999999999999975
[nH]1c2c(nc1SCc3ccccc3Cl)cccn2,21.84
C(=CC(\C=C\c1cc(Cl)cc(Cl)c1OCc2ccccc2F)=NC3=O)(C(F)(F)F)N3,9.37
C(=C/c(cc1)ccc1OC(=O)c2ccc(cc2)OC)(/C(C)=NN3c(cc4)ccc4[N+](=O)[O-])\C3=O,14.05
N1(CC(C)OC(c(ccc(c23)OCO2)c3)O1)C(c4ccccc4)=O,20.5
N(C(C)(C)Cc(c12)cc(c(OC)c1)OC)=C2CCCCCl,6.639999999999999
N1(c2ccc(cc2)OCCC)CC(CC1=O)C(=O)Nc3ccccc3C(C)C,9.580000000000002
S(=O)(=O)(c1ccc(cc1)C)N2CCC(CC2)C(=O)N\N=C\c3c(OC)cc(cc3OC)OC,17.689999999999994
C1(CCC(NC1c(cc2OC)cc(c2OC)OC)=O)[N+](=O)[O-],12.089999999999998
C(/NC(N1c2ccccc2)=S)(\C1=O)=C(\c3c(N4)cccc3)/C4=O,11.05
N1(c2ccccc2F)CC(CC1=O)C(=O)Nc3cccc(C)c3,17.25
c1(Sc2ccccc2)nc(C)cc(C)n1,15.96
N1(C2CCCCC2)CC(CC1=O)C(=O)Nc(cc3)c(Br)cc3[N+](=O)[O-],17.04
C(C(OC)=O)(C1c(ccc(c2[N+](=O)[O-])C)c2)=C(C)N(C(C)=C1C(OC)=O)C,16.759999999999998
c12c(n(c(Oc(cc3)c(OC)cc3c(c4)nc(c5c4C(O)=O)ccc(cccc6)c56)n1)C)C(N(C)C(=O)N2C)=O,17.630000000000006
C1(N2CCC(CC2)C)=CC(OC13CCCCC3)=O,28.9
[N+](=O)([O-])c1cccc(Cl)c1N(CC2)CCN2C(=O)c3ccccc3Cl,15.05
N1(c2ccc(cc2)C)C(=O)NC(\C(=C\c(ccc(c3OCC)OCCSc4cccc(cccc5)c45)c3)\C1=O)=O,5.31
N1(c2ccc(cc2)Cl)C(=O)C(C(C3)C1=O)CC=C3,10.44
C(=C\c(ccc(c1OCC)OCCOc2ccccc2OC)c1)(/C(=O)NC(N3)=S)\C3=O,13.77
C(Oc1c(C2c(c(O)nc(n3)O)c3O)ccc(O)c1)(C24)=NC(NC4=O)=O,5.350000000000001
N1(c2ccc(cc2)C)C(=O)NC(\C(=C\c3ccccc3OCCOc(cc4)ccc4[N+](=O)[O-])\C1=O)=O,8.149999999999999
c1(cn(c(C)n1)CC#N)[N+](=O)[O-],16.14
S1(=O)(=O)c2c(cc(Cl)cc2)c3c(ccc(OC)c3)N1,22.0
C1(C#N)(C(C)C(N2)(N)C(C(c3ccc(cc3)OC)C1(C#N)C#N)C)C2=O,35.57
C(C(OC)=O)(=C(C)NC(=C12)CC(CC1=O)c3cccs3)C2c4cccs4,9.26
C(C(C)=O)(C1c2ccc(c(OC)c2)OC)=C(O)C(N1CCN(CC3)CCO3)=O,8.41
C12=C(CC(c3cccs3)CC1=O)Nc(c4NC2c5cccc(OC)c5OC)cccc4,25.06
n1(c2cc(C)ccc2Oc3ccc(cc3C(N)=O)S(=O)(=O)N(CC4)CCO4)nc5c(cccc5)n1,27.73
C(/C#N)(\C(OCC)=O)=C/Nc1c(C)ccc(Cl)c1,60.55
S(=O)(=O)(c(cc1)ccc1[N+](=O)[O-])Nc(cc2)ccc2c3oc(c4n3)cccc4,11.79
C12=C(CC(c3ccc(c(OC)c3)OC)CC1=O)Nc(c4NC2c(ccc(c56)OCO5)c6)cccc4,7.1599999999999975
C12=C(CC(C)(C)CC1=O)Nc(c3NC2c(cc(OC)c(c4OC)OC)c4Br)cc(c(C)c3)C,8.01
N(C(C)(C)Cc(c12)cc(c(OC)c1)OC)=C2C#N,15.31
c(C(=O)N(CC)CC)(sc(c1C(OCC)=O)N)c1C,22.98
C1(=O)c2c(cccc2)NC(\C=C\c3ccccc3)N1c4ccccc4,9.39
